Metabolites,Substrate,Temps,Mean,Stdev,Model_idx
Lactose,G0,T0,0.3581871345,0.01688158683,EX_lcts(e)
Lactose,G0,T6,0.2923976608,0.0337631736,EX_lcts(e)
Lactose,G0,T12,0.2923976608,0.01688158677,EX_lcts(e)
Lactose,G0,T24,0.3070175438,0.00,EX_lcts(e)
Lactose,G2,T0,0.5555555556,0.00,EX_lcts(e)
Lactose,G2,T6,0.4191033138,0.01688158683,EX_lcts(e)
Lactose,G2,T12,0.4093567251,0.00,EX_lcts(e)
Lactose,G2,T24,0.4288499025,0.01688158683,EX_lcts(e)
Lactose,G20,T0,1.062378168,0.01688158677,EX_lcts(e)
Lactose,G20,T6,0.7894736842,0.0292397661,EX_lcts(e)
Lactose,G20,T12,0.6530214425,0.01688158683,EX_lcts(e)
Lactose,G20,T24,0.5847953216,0.00,EX_lcts(e)
Glucose,G0,T0,22.13888889,0.3902093996,EX_glc_D(e)
Glucose,G0,T6,17.34722223,1.799634164,EX_glc_D(e)
Glucose,G0,T12,12.34722222,0.334872989,EX_glc_D(e)
Glucose,G0,T24,10.05555556,0.8431520343,EX_glc_D(e)
Glucose,G2,T0,28.90740741,0.36146706,EX_glc_D(e)
Glucose,G2,T6,19.46296296,1.597000787,EX_glc_D(e)
Glucose,G2,T12,12.31481481,0.7398142335,EX_glc_D(e)
Glucose,G2,T24,11.77777778,0.9279607304,EX_glc_D(e)
Glucose,G20,T0,28.53703704,0.3207501463,EX_glc_D(e)
Glucose,G20,T6,18.85185185,1.690873591,EX_glc_D(e)
Glucose,G20,T12,5.203703704,0.5701779376,EX_glc_D(e)
Glucose,G20,T24,0.2222222222,0.146986184,EX_glc_D(e)
Succinate,G0,T0,5.93220339,0.1294512913,EX_succ(e)
Succinate,G0,T6,9.258474575,0.7642796198,EX_succ(e)
Succinate,G0,T12,14.55508475,0.3693982152,EX_succ(e)
Succinate,G0,T24,16.50423729,0.5448390236,EX_succ(e)
Succinate,G2,T0,7.824858757,0.04892798908,EX_succ(e)
Succinate,G2,T6,16.77966102,1.692795285,EX_succ(e)
Succinate,G2,T12,24.26553672,0.09785598047,EX_succ(e)
Succinate,G2,T24,25.81920904,0.787421459,EX_succ(e)
Succinate,G20,T0,7.485875706,0.1294512907,EX_succ(e)
Succinate,G20,T6,14.26553672,1.118943633,EX_succ(e)
Succinate,G20,T12,25.56497175,1.018125494,EX_succ(e)
Succinate,G20,T24,34.3220339,0.5557151312,EX_succ(e)
Lactate,G0,T0,0.4444444445,0.0641500299,EX_lac_L(e)
Lactate,G0,T6,0.4166666667,0.1111111112,EX_lac_L(e)
Lactate,G0,T12,1.694444444,0.06415002985,EX_lac_L(e)
Lactate,G0,T24,3.138888889,0.1697250256,EX_lac_L(e)
Lactate,G2,T0,0.5555555556,0.00,EX_lac_L(e)
Lactate,G2,T6,0.7777777778,0.1111111111,EX_lac_L(e)
Lactate,G2,T12,2.037037037,0.1697250256,EX_lac_L(e)
Lactate,G2,T24,2.962962963,0.1697250256,EX_lac_L(e)
Lactate,G20,T0,0.4814814815,0.1283000599,EX_lac_L(e)
Lactate,G20,T6,0.7777777778,0.1111111111,EX_lac_L(e)
Lactate,G20,T12,2,0.2939723676,EX_lac_L(e)
Lactate,G20,T24,2.962962963,0.4490502089,EX_lac_L(e)
Acetate,G0,T0,0.7083333333,0.09622504488,EX_ac(e)
Acetate,G0,T6,3.75,0.333333333,EX_ac(e)
Acetate,G0,T12,8.083333333,0.2545875382,EX_ac(e)
Acetate,G0,T24,10,0.333333335,EX_ac(e)
Acetate,G2,T0,1.055555556,0.09622504506,EX_ac(e)
Acetate,G2,T6,8.888888888,1.261979631,EX_ac(e)
Acetate,G2,T12,15.33333334,0.2886751346,EX_ac(e)
Acetate,G2,T24,15.66666666,0.7637626158,EX_ac(e)
Acetate,G20,T0,0.8888888889,0.09622504488,EX_ac(e)
Acetate,G20,T6,7.555555556,1.170628195,EX_ac(e)
Acetate,G20,T12,17,0.5773502692,EX_ac(e)
Acetate,G20,T24,21.05555555,0.2545875382,EX_ac(e)
Propionate,G0,T0,0.4054054054,0.00,EX_ppa(e)
Propionate,G0,T6,0.8108108108,0.00,EX_ppa(e)
Propionate,G0,T12,1.925675676,0.2340609203,EX_ppa(e)
Propionate,G0,T24,1.993243244,0.1560406131,EX_ppa(e)
Propionate,G2,T0,0.4954954955,0.07802030663,EX_ppa(e)
Propionate,G2,T6,1.126126126,0.07802030657,EX_ppa(e)
Propionate,G2,T12,2.117117117,0.2813062159,EX_ppa(e)
Propionate,G2,T24,1.801801802,0.2064223284,EX_ppa(e)
Propionate,G20,T0,0.3153153153,0.2813062161,EX_ppa(e)
Propionate,G20,T6,1.261261261,0.3400826325,EX_ppa(e)
Propionate,G20,T12,2.747747748,0.6934596543,EX_ppa(e)
Propionate,G20,T24,4.324324324,0.3575339612,EX_ppa(e)
Alanine,G0,T0,3.146067416,0.00,EX_ala_L(e)
Alanine,G0,T6,3.29588015,0.3611854218,EX_ala_L(e)
Alanine,G0,T12,3.595505618,0.1123595506,EX_ala_L(e)
Alanine,G2,T0,2.921348315,0.1123595506,EX_ala_L(e)
Alanine,G2,T6,3.745318352,0.1297416335,EX_ala_L(e)
Alanine,G2,T12,3.558052434,0.5542565014,EX_ala_L(e)
Alanine,G20,T0,2.921348315,0.1946124503,EX_ala_L(e)
Alanine,G20,T6,3.595505618,0.1123595506,EX_ala_L(e)
Alanine,G20,T12,4.119850187,0.2338950561,EX_ala_L(e)
Arginine,G0,T0,2.54789272,0.06636209991,EX_arg_L(e)
Arginine,G0,T6,2.605363985,0.2715985992,EX_arg_L(e)
Arginine,G0,T12,2.662835249,0.08778880642,EX_arg_L(e)
Arginine,G2,T0,2.509578544,0.03318104995,EX_arg_L(e)
Arginine,G2,T6,2.796934866,0.06636209991,EX_arg_L(e)
Arginine,G2,T12,2.796934866,0.08778880642,EX_arg_L(e)
Arginine,G20,T0,2.432950192,0.08778880642,EX_arg_L(e)
Arginine,G20,T6,2.681992337,0.06636209991,EX_arg_L(e)
Arginine,G20,T12,2.85440613,0.08778880642,EX_arg_L(e)
Glycine,G0,T0,1.466666667,0,EX_gly_L(e)
Glycine,G0,T6,2.266666667,0.2666666667,EX_gly_L(e)
Glycine,G0,T12,2.444444444,0.07698003589,EX_gly_L(e)
Glycine,G2,T0,1.466666667,0,EX_gly_L(e)
Glycine,G2,T6,3.288888889,0.07698003589,EX_gly_L(e)
Glycine,G2,T12,3.511111111,0.07698003589,EX_gly_L(e)
Glycine,G20,T0,1.466666667,0,EX_gly_L(e)
Glycine,G20,T6,3.288888889,0.1539600718,EX_gly_L(e)
Glycine,G20,T12,4.133333333,0.2666666667,EX_gly_L(e)
Isoleucine,G0,T0,0.9923664122,0,EX_ile_L(e)
Isoleucine,G0,T6,0.9669211196,0.1166049795,EX_ile_L(e)
Isoleucine,G0,T12,0.941475827,0.04407253963,EX_ile_L(e)
Isoleucine,G2,T0,0.9923664122,0,EX_ile_L(e)
Isoleucine,G2,T6,1.017811705,0.04407253963,EX_ile_L(e)
Isoleucine,G2,T12,1.043256997,0.04407253963,EX_ile_L(e)
Isoleucine,G20,T0,0.941475827,0.04407253963,EX_ile_L(e)
Isoleucine,G20,T6,1.094147583,0.04407253963,EX_ile_L(e)
Isoleucine,G20,T12,1.145038168,0.07633587786,EX_ile_L(e)
Aspartate,G0,T0,0.8521303258,0.04340979468,EX_asp_L(e)
Aspartate,G0,T6,1.102756892,0.1148515212,EX_asp_L(e)
Aspartate,G0,T12,1.002506266,0.04340979468,EX_asp_L(e)
Aspartate,G2,T0,0.8270676692,0,EX_asp_L(e)
Aspartate,G2,T6,1.052631579,0.07518796992,EX_asp_L(e)
Aspartate,G2,T12,0.8020050125,0.04340979468,EX_asp_L(e)
Aspartate,G20,T0,0.8521303258,0.04340979468,EX_asp_L(e)
Aspartate,G20,T6,1.027568922,0.08681958935,EX_asp_L(e)
Aspartate,G20,T12,0.7769423559,0.04340979468,EX_asp_L(e)
Cystein,G0,T0,0.5785123967,0,EX_cys_L(e)
Cystein,G0,T6,0.4132231405,0.0826446281,EX_cys_L(e)
Cystein,G0,T12,0.1652892562,0,EX_cys_L(e)
Cystein,G2,T0,0.6611570248,0,EX_cys_L(e)
Cystein,G2,T6,0.4407713499,0.04771489828,EX_cys_L(e)
Cystein,G2,T12,0.0826446281,0,EX_cys_L(e)
Cystein,G20,T0,0.7713498623,0.04771489828,EX_cys_L(e)
Cystein,G20,T6,0.3856749311,0.09542979656,EX_cys_L(e)
Cystein,G20,T12,0.02754820937,0.04771489828,EX_cys_L(e)
Glutamate,G0,T0,1.995464853,0.03927552852,EX_glu_L(e)
Glutamate,G0,T6,1.995464853,0.2078265621,EX_glu_L(e)
Glutamate,G0,T12,2.199546485,0.1039132811,EX_glu_L(e)
Glutamate,G2,T0,1.995464853,0.03927552852,EX_glu_L(e)
Glutamate,G2,T6,2.358276644,0.1039132811,EX_glu_L(e)
Glutamate,G2,T12,2.53968254,0.1039132811,EX_glu_L(e)
Glutamate,G20,T0,2.01814059,0.1039132811,EX_glu_L(e)
Glutamate,G20,T6,2.607709751,0.218676888,EX_glu_L(e)
Glutamate,G20,T12,3.083900227,0.3355702627,EX_glu_L(e)
Histidine,G0,T0,0.3870967742,0,EX_his_L(e)
Histidine,G0,T6,0.4731182796,0.03724840446,EX_his_L(e)
Histidine,G0,T12,0.4731182796,0.03724840446,EX_his_L(e)
Histidine,G2,T0,0.3870967742,0,EX_his_L(e)
Histidine,G2,T6,0.5161290323,0,EX_his_L(e)
Histidine,G2,T12,0.5376344086,0.03724840446,EX_his_L(e)
Histidine,G20,T0,0.3870967742,0,EX_his_L(e)
Histidine,G20,T6,0.5376344086,0.03724840446,EX_his_L(e)
Histidine,G20,T12,0.5591397849,0.03724840446,EX_his_L(e)
Serine,G0,T0,1.238095238,0,EX_ser_L(e)
Serine,G0,T6,1.206349206,0.1454785935,EX_ser_L(e)
Serine,G0,T12,1.238095238,0.09523809524,EX_ser_L(e)
Serine,G2,T0,1.174603175,0.05498573992,EX_ser_L(e)
Serine,G2,T6,1.238095238,0,EX_ser_L(e)
Serine,G2,T12,1.238095238,0,EX_ser_L(e)
Serine,G20,T0,1.111111111,0.05498573992,EX_ser_L(e)
Serine,G20,T6,1.174603175,0.05498573992,EX_ser_L(e)
Serine,G20,T12,1.206349206,0.05498573992,EX_ser_L(e)
Leucine,G0,T0,2.340966921,0.04407253963,EX_leu_L(e)
Leucine,G0,T6,2.239185751,0.2890029693,EX_leu_L(e)
Leucine,G0,T12,2.239185751,0.1166049795,EX_leu_L(e)
Leucine,G2,T0,2.315521628,0.04407253963,EX_leu_L(e)
Leucine,G2,T6,2.366412214,0.1322176189,EX_leu_L(e)
Leucine,G2,T12,2.315521628,0.04407253963,EX_leu_L(e)
Leucine,G20,T0,2.239185751,0.1166049795,EX_leu_L(e)
Leucine,G20,T6,2.391857506,0.1166049795,EX_leu_L(e)
Leucine,G20,T12,2.468193384,0.1166049795,EX_leu_L(e)
Threonine,G0,T0,0.8403361345,0,EX_thr_L(e)
Threonine,G0,T6,0.81232493,0.1283634648,EX_thr_L(e)
Threonine,G0,T12,0.8683473389,0.04851682934,EX_thr_L(e)
Threonine,G2,T0,0.8403361345,0,EX_thr_L(e)
Threonine,G2,T6,0.8683473389,0.04851682934,EX_thr_L(e)
Threonine,G2,T12,0.8963585434,0.04851682934,EX_thr_L(e)
Threonine,G20,T0,0.7282913165,0.7282913165,EX_thr_L(e)
Threonine,G20,T6,0.7843137255,0.7843137255,EX_thr_L(e)
Threonine,G20,T12,0.8683473389,0.8683473389,EX_thr_L(e)
